"Year","Term","College or Institution Type","College or Institution Name","Undergraduate Full-Time","Undergraduate Part-Time","Graduate Full-Time","Graduate Part-Time"
"2024","Fall","Community Colleges","Jefferson","1,145","1,174",,
"2024","Fall","Community Colleges","Mohawk Valley","2,434","3,506",,
"2024","Fall","Community Colleges","Monroe","4,559","4,082",,
"2024","Fall","Community Colleges","Nassau","6,764","5,537",,
"2024","Fall","Community Colleges","Niagara County","2,326","2,221",,
"2024","Fall","Community Colleges","North Country","738","920",,
"2024","Fall","Community Colleges","Onondaga","3,264","5,273",,
"2024","Fall","Community Colleges","Orange County","2,284","3,429",,
"2024","Fall","Community Colleges","Rockland","2,417","2,947",,
"2024","Fall","Community Colleges","Schenectady County","1,089","2,440",,
"2024","Fall","Community Colleges","Suffolk County","9,410","10,563",,
"2024","Fall","Community Colleges","Sullivan County","573","954",,
"2024","Fall","Community Colleges","Tompkins Cortland","1,104","3,855",,
"2024","Fall","Community Colleges","Ulster County","1,096","1,995",,
"2024","Fall","Community Colleges","Westchester","4,614","4,745",,
